term,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),5.442253951191115,0.05965931562355604,91.22219881855771,0
playingtime,1.471714767225959e-4,1.1527656343693796e-5,12.766816804276617,3.4228627157670917e-37
players,-0.006126400599655551,8.119756787345372e-4,-7.545054316409497,4.699394679321523e-14
yearpublished,2.708564675546365e-4,2.945295261343136e-5,9.196241582622125,4.033357838242947e-20
minage,0.046545352648508086,0.0017008681433219738,27.365644321846215,4.044712152888999e-162
