"cluster","EXT","EST","AGR","CSN","OPN","n"
1,2.85023712737127,3.54275067750677,3.14613821138211,3.19219173441734,3.20132113821138,328
2,3.33660606060606,3.19018181818182,3.42948484848485,3.44455555555556,3.48343434343434,275
3,2.98646004378763,2.5083274689186,3.0576833607006,2.92613574165298,3.19315231839862,406
