"";"EXT1";"EXT2";"EXT3";"EXT4";"EXT5";"EXT6";"EXT7";"EXT8";"EXT9";"EXT10";"EST1";"EST2";"EST3";"EST4";"EST5";"EST6";"EST7";"EST8";"EST9";"EST10";"AGR1";"AGR2";"AGR3";"AGR4";"AGR5";"AGR6";"AGR7";"AGR8";"AGR9";"AGR10";"CSN1";"CSN2";"CSN3";"CSN4";"CSN5";"CSN6";"CSN7";"CSN8";"CSN9";"CSN10";"OPN1";"OPN2";"OPN3";"OPN4";"OPN5";"OPN6";"OPN7";"OPN8";"OPN9";"OPN10"
"251";"3";"3";"2";"3";"2";"3";"2";"5";"1";"4";"2";"3";"3";"2";"3";"3";"3";"2";"2";"4";"4";"2";"1";"3";"2";"3";"3";"3";"3";"2";"3";"2";"3";"2";"3";"3";"3";"3";"1";"2";"3";"3";"2";"3";"2";"3";"4";"3";"2";"2"
"252";"3";"1";"4";"4";"4";"2";"4";"2";"5";"3";"1";"1";"4";"3";"1";"5";"2";"4";"5";"3";"5";"4";"5";"1";"5";"1";"4";"2";"1";"5";"2";"5";"4";"4";"1";"4";"2";"4";"2";"4";"4";"1";"5";"5";"4";"2";"4";"5";"5";"4"
"253";"1";"4";"2";"4";"2";"4";"2";"5";"1";"5";"3";"4";"3";"4";"1";"1";"2";"1";"2";"1";"3";"5";"1";"4";"2";"3";"2";"4";"3";"4";"4";"4";"2";"2";"2";"5";"4";"3";"3";"3";"5";"1";"4";"1";"4";"1";"5";"5";"4";"4"
"254";"1";"5";"2";"5";"2";"5";"1";"5";"2";"4";"3";"2";"4";"1";"2";"3";"5";"4";"4";"5";"4";"2";"1";"2";"4";"3";"3";"2";"2";"3";"2";"2";"3";"3";"2";"2";"3";"4";"2";"2";"3";"2";"4";"1";"3";"2";"3";"2";"3";"3"
"255";"4";"3";"4";"2";"4";"1";"2";"2";"5";"3";"5";"2";"5";"1";"2";"2";"2";"3";"3";"4";"2";"4";"4";"4";"2";"3";"1";"3";"4";"5";"4";"2";"5";"2";"3";"2";"4";"2";"4";"5";"5";"2";"4";"2";"4";"1";"5";"5";"4";"3"
"256";"1";"4";"3";"3";"2";"3";"2";"5";"1";"5";"5";"3";"5";"2";"2";"4";"4";"4";"3";"4";"1";"4";"1";"5";"2";"4";"2";"5";"4";"3";"4";"2";"4";"2";"4";"2";"4";"2";"3";"4";"4";"2";"4";"1";"4";"2";"5";"3";"4";"4"
"257";"1";"5";"1";"5";"1";"5";"1";"5";"1";"5";"4";"2";"5";"2";"3";"4";"2";"2";"4";"4";"2";"1";"1";"5";"4";"4";"5";"3";"4";"3";"2";"1";"2";"2";"2";"4";"4";"4";"3";"4";"1";"3";"2";"3";"3";"3";"3";"1";"1";"2"
"258";"1";"1";"1";"1";"5";"1";"4";"3";"4";"1";"1";"5";"3";"1";"4";"3";"4";"4";"4";"1";"4";"5";"1";"4";"4";"5";"1";"3";"2";"4";"4";"1";"5";"1";"4";"1";"5";"3";"3";"3";"4";"4";"4";"5";"3";"3";"2";"1";"5";"4"
"259";"4";"1";"5";"1";"5";"1";"3";"1";"5";"2";"2";"4";"4";"3";"5";"3";"4";"4";"5";"2";"2";"5";"3";"4";"2";"3";"3";"4";"3";"3";"5";"4";"4";"2";"3";"3";"3";"3";"4";"5";"3";"2";"4";"1";"5";"2";"5";"3";"5";"5"
"260";"4";"1";"5";"1";"5";"2";"4";"1";"5";"5";"5";"2";"5";"1";"4";"5";"5";"5";"5";"5";"3";"4";"4";"3";"3";"3";"3";"2";"4";"5";"0";"2";"4";"2";"1";"2";"4";"2";"4";"5";"5";"1";"5";"2";"4";"1";"5";"5";"5";"5"
"261";"2";"4";"2";"2";"2";"4";"2";"4";"4";"4";"4";"2";"4";"2";"4";"4";"4";"4";"4";"4";"4";"2";"3";"2";"4";"2";"4";"2";"2";"2";"3";"3";"2";"2";"3";"2";"4";"3";"4";"3";"2";"2";"3";"2";"3";"3";"4";"2";"4";"3"
"262";"4";"4";"1";"3";"4";"3";"5";"3";"5";"5";"4";"5";"5";"1";"4";"3";"5";"4";"3";"5";"3";"4";"5";"3";"2";"4";"2";"2";"4";"5";"2";"4";"5";"4";"2";"4";"5";"3";"4";"3";"4";"1";"5";"1";"3";"1";"3";"3";"5";"5"
"263";"3";"2";"2";"3";"4";"3";"3";"3";"3";"4";"2";"3";"3";"3";"3";"3";"4";"3";"2";"3";"4";"5";"3";"3";"2";"4";"2";"2";"4";"5";"2";"4";"2";"4";"3";"4";"1";"3";"2";"3";"3";"2";"3";"1";"4";"2";"4";"3";"3";"4"
"264";"4";"2";"4";"2";"4";"2";"4";"3";"4";"2";"4";"2";"4";"3";"4";"4";"4";"4";"4";"4";"2";"4";"2";"4";"2";"3";"2";"3";"4";"4";"2";"4";"4";"4";"3";"4";"3";"3";"3";"3";"4";"2";"4";"3";"3";"2";"4";"2";"4";"4"
"265";"4";"1";"4";"2";"4";"1";"5";"2";"4";"2";"3";"4";"4";"2";"3";"4";"3";"2";"2";"2";"1";"5";"2";"5";"1";"5";"1";"4";"5";"5";"3";"4";"3";"4";"2";"2";"4";"3";"4";"4";"2";"2";"4";"2";"4";"1";"3";"2";"5";"5"
"266";"1";"4";"4";"3";"3";"3";"3";"4";"5";"3";"3";"3";"5";"3";"3";"2";"2";"2";"2";"1";"1";"5";"1";"4";"2";"5";"1";"5";"3";"3";"1";"5";"4";"4";"1";"4";"2";"4";"2";"2";"3";"2";"5";"2";"3";"2";"2";"1";"4";"3"
"267";"5";"3";"4";"2";"3";"1";"2";"2";"5";"3";"1";"5";"4";"5";"1";"1";"2";"1";"4";"1";"4";"2";"3";"2";"4";"4";"5";"4";"3";"3";"5";"1";"5";"1";"5";"1";"5";"1";"5";"5";"5";"1";"4";"2";"5";"1";"5";"3";"3";"5"
"268";"1";"4";"3";"4";"1";"4";"1";"4";"1";"4";"2";"4";"3";"4";"1";"2";"2";"2";"1";"2";"1";"5";"2";"4";"2";"4";"2";"5";"4";"3";"4";"2";"4";"2";"3";"1";"4";"2";"4";"4";"3";"3";"4";"3";"4";"2";"4";"3";"4";"4"
"269";"3";"4";"2";"4";"2";"4";"1";"4";"5";"5";"4";"2";"4";"4";"4";"5";"4";"4";"5";"4";"4";"3";"5";"3";"4";"4";"4";"5";"2";"3";"2";"2";"4";"3";"4";"2";"5";"4";"2";"3";"3";"3";"4";"3";"5";"4";"3";"3";"5";"3"
"270";"3";"1";"4";"3";"4";"1";"3";"4";"2";"4";"1";"5";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"2";"5";"2";"5";"2";"4";"5";"5";"1";"5";"4";"5";"1";"5";"1";"5";"1";"4";"5";"1";"2";"1";"4";"4";"5";"5";"4";"4"
"271";"2";"2";"3";"2";"2";"2";"2";"3";"2";"4";"5";"2";"5";"3";"3";"4";"3";"3";"5";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"2";"3";"3";"3";"2";"3";"1";"5";"2";"4";"3";"4";"2";"5";"1";"3";"2";"4";"3";"5";"3"
"272";"4";"2";"4";"2";"4";"1";"4";"4";"4";"2";"2";"2";"2";"1";"2";"4";"2";"1";"2";"5";"2";"5";"4";"5";"2";"4";"1";"4";"4";"4";"4";"4";"5";"1";"3";"1";"4";"2";"5";"2";"5";"1";"5";"1";"3";"1";"4";"4";"5";"4"
"273";"3";"3";"2";"5";"1";"2";"1";"5";"1";"5";"2";"4";"4";"4";"3";"1";"2";"2";"2";"1";"5";"4";"1";"5";"2";"5";"2";"5";"5";"4";"3";"4";"4";"4";"3";"4";"4";"4";"4";"4";"1";"5";"5";"2";"2";"1";"3";"1";"5";"4"
"274";"2";"1";"2";"2";"2";"2";"2";"2";"4";"4";"3";"2";"4";"3";"4";"3";"3";"2";"4";"2";"1";"4";"1";"5";"3";"5";"2";"2";"5";"4";"4";"5";"5";"2";"1";"5";"3";"3";"4";"5";"5";"2";"5";"1";"5";"1";"4";"2";"5";"5"
"275";"3";"2";"5";"4";"4";"2";"3";"5";"2";"3";"2";"4";"5";"3";"1";"3";"2";"2";"2";"1";"1";"5";"2";"5";"2";"3";"1";"5";"5";"3";"5";"2";"5";"2";"4";"1";"4";"1";"5";"4";"4";"2";"3";"3";"3";"2";"5";"4";"3";"4"
"276";"3";"2";"2";"4";"3";"2";"3";"4";"3";"2";"3";"3";"2";"3";"3";"3";"2";"2";"4";"3";"2";"3";"3";"3";"4";"3";"3";"4";"3";"3";"3";"4";"3";"4";"4";"3";"3";"3";"4";"4";"3";"3";"3";"3";"2";"2";"2";"2";"3";"5"
"277";"3";"4";"2";"4";"3";"3";"1";"3";"3";"3";"5";"4";"3";"4";"3";"5";"3";"3";"5";"4";"4";"3";"1";"4";"1";"5";"3";"5";"4";"4";"2";"5";"4";"3";"2";"4";"4";"3";"4";"3";"4";"3";"3";"3";"3";"3";"5";"2";"2";"3"
"278";"4";"2";"4";"2";"3";"2";"4";"3";"2";"4";"3";"4";"4";"4";"3";"2";"1";"1";"4";"1";"1";"5";"2";"4";"1";"4";"1";"4";"4";"4";"3";"3";"4";"3";"3";"1";"5";"3";"2";"5";"4";"1";"4";"1";"4";"2";"5";"3";"4";"4"
"279";"3";"2";"4";"3";"4";"4";"4";"3";"4";"3";"1";"4";"3";"4";"4";"4";"2";"2";"4";"2";"2";"3";"2";"4";"2";"4";"2";"4";"4";"3";"2";"4";"4";"4";"2";"4";"4";"2";"4";"4";"2";"2";"3";"4";"4";"2";"4";"1";"4";"4"
"280";"3";"2";"3";"3";"4";"2";"4";"4";"4";"4";"3";"2";"5";"1";"2";"2";"2";"2";"4";"4";"1";"4";"4";"4";"3";"4";"2";"4";"4";"4";"4";"2";"5";"2";"3";"2";"4";"2";"5";"5";"5";"1";"5";"1";"4";"1";"4";"5";"5";"5"
"281";"2";"4";"2";"4";"2";"4";"1";"5";"2";"5";"4";"4";"4";"2";"4";"5";"2";"2";"4";"3";"1";"5";"1";"4";"1";"5";"1";"5";"5";"3";"4";"4";"5";"2";"4";"2";"5";"2";"5";"4";"5";"4";"4";"4";"4";"2";"4";"5";"5";"4"
"282";"3";"2";"4";"3";"3";"1";"1";"4";"3";"5";"3";"4";"4";"4";"1";"3";"3";"2";"4";"1";"2";"2";"2";"4";"2";"4";"3";"4";"3";"3";"3";"1";"4";"1";"1";"2";"4";"1";"1";"4";"4";"1";"4";"1";"3";"2";"5";"3";"5";"3"
"283";"2";"2";"3";"5";"3";"2";"4";"3";"4";"4";"3";"0";"4";"3";"2";"2";"4";"4";"3";"2";"1";"4";"1";"4";"2";"4";"1";"4";"5";"4";"4";"2";"4";"3";"2";"3";"3";"2";"2";"3";"4";"2";"2";"1";"4";"1";"4";"4";"4";"5"
"284";"3";"3";"3";"3";"3";"1";"3";"3";"3";"3";"4";"2";"4";"2";"3";"3";"4";"3";"3";"3";"4";"4";"3";"3";"2";"5";"2";"4";"3";"4";"3";"1";"4";"2";"5";"3";"5";"3";"5";"3";"2";"3";"3";"2";"3";"3";"3";"2";"3";"5"
"285";"1";"2";"4";"2";"4";"5";"2";"5";"4";"5";"4";"1";"5";"2";"5";"4";"1";"2";"4";"2";"1";"5";"5";"5";"1";"4";"5";"2";"5";"5";"1";"4";"2";"5";"1";"2";"5";"5";"2";"5";"4";"1";"5";"1";"5";"1";"5";"5";"5";"5"
"286";"1";"2";"4";"3";"3";"2";"3";"3";"4";"3";"3";"4";"4";"3";"2";"3";"3";"3";"3";"2";"2";"4";"1";"5";"2";"4";"1";"4";"5";"3";"3";"4";"5";"3";"3";"3";"4";"2";"4";"4";"3";"1";"5";"2";"3";"2";"4";"3";"4";"3"
"287";"5";"1";"5";"1";"5";"1";"5";"1";"5";"1";"3";"3";"4";"4";"3";"2";"3";"3";"2";"2";"2";"5";"2";"4";"2";"3";"1";"4";"4";"4";"5";"3";"5";"3";"3";"3";"5";"3";"5";"5";"3";"2";"5";"2";"5";"2";"5";"4";"4";"4"
"288";"2";"3";"2";"4";"2";"3";"1";"4";"3";"4";"3";"3";"3";"1";"3";"2";"1";"1";"3";"5";"3";"3";"3";"2";"3";"1";"4";"2";"2";"3";"3";"2";"4";"3";"1";"2";"3";"3";"3";"3";"3";"3";"5";"3";"4";"1";"4";"3";"2";"5"
"289";"4";"1";"3";"5";"5";"1";"5";"5";"5";"3";"2";"4";"5";"1";"2";"1";"3";"3";"4";"1";"3";"5";"5";"2";"2";"1";"3";"3";"5";"4";"4";"1";"5";"1";"5";"2";"5";"3";"5";"5";"5";"1";"5";"1";"5";"1";"5";"5";"3";"5"
"290";"3";"3";"2";"3";"3";"2";"2";"4";"1";"4";"4";"2";"4";"3";"3";"3";"3";"4";"3";"3";"2";"4";"1";"4";"2";"4";"2";"3";"3";"5";"4";"2";"5";"2";"2";"2";"4";"2";"3";"4";"4";"2";"4";"2";"5";"2";"4";"4";"5";"5"
"291";"1";"4";"3";"3";"2";"2";"1";"2";"4";"4";"2";"5";"3";"3";"1";"1";"2";"1";"1";"1";"2";"3";"1";"4";"1";"1";"1";"4";"4";"3";"4";"3";"2";"1";"1";"1";"4";"2";"3";"1";"5";"1";"3";"1";"5";"1";"4";"4";"5";"4"
"292";"1";"4";"1";"4";"2";"5";"2";"0";"3";"3";"2";"4";"2";"1";"4";"1";"2";"2";"3";"1";"1";"1";"5";"1";"3";"1";"5";"1";"1";"3";"3";"2";"1";"4";"1";"5";"1";"2";"1";"4";"4";"1";"5";"1";"5";"1";"5";"5";"4";"5"
"293";"3";"2";"4";"2";"4";"2";"3";"3";"3";"2";"4";"4";"3";"4";"5";"3";"1";"1";"3";"2";"1";"4";"4";"5";"2";"4";"3";"3";"4";"5";"4";"3";"3";"2";"3";"2";"4";"2";"3";"2";"4";"3";"3";"3";"3";"2";"4";"3";"4";"3"
"294";"5";"3";"3";"2";"4";"2";"5";"4";"3";"3";"5";"3";"5";"2";"3";"3";"3";"3";"4";"2";"1";"4";"2";"5";"2";"4";"1";"5";"4";"4";"4";"1";"5";"2";"3";"2";"4";"3";"4";"3";"3";"2";"5";"2";"3";"1";"3";"2";"3";"4"
"295";"2";"2";"3";"2";"4";"2";"2";"2";"4";"2";"4";"2";"4";"2";"4";"4";"3";"4";"4";"3";"2";"4";"2";"4";"2";"4";"2";"3";"3";"3";"4";"1";"4";"1";"4";"1";"5";"3";"4";"3";"5";"2";"5";"1";"3";"2";"2";"4";"4";"3"
"296";"4";"3";"3";"4";"2";"5";"3";"5";"2";"5";"4";"4";"5";"3";"4";"3";"4";"4";"3";"3";"4";"4";"2";"4";"3";"3";"3";"2";"3";"4";"4";"4";"5";"3";"4";"2";"4";"3";"4";"4";"3";"3";"4";"3";"4";"3";"5";"1";"4";"4"
"297";"4";"1";"5";"1";"5";"1";"3";"5";"3";"2";"3";"3";"5";"1";"4";"1";"1";"2";"2";"1";"1";"5";"2";"5";"1";"5";"1";"4";"3";"4";"4";"2";"3";"1";"3";"1";"3";"1";"5";"3";"1";"2";"1";"1";"3";"1";"2";"1";"2";"4"
"298";"4";"2";"3";"3";"4";"2";"3";"3";"4";"2";"2";"4";"1";"4";"3";"1";"1";"1";"1";"1";"2";"2";"1";"2";"3";"4";"3";"4";"2";"4";"4";"2";"5";"2";"4";"1";"4";"2";"4";"4";"5";"1";"2";"1";"4";"1";"5";"4";"5";"5"
"299";"4";"1";"4";"1";"5";"1";"4";"2";"5";"4";"5";"3";"4";"2";"5";"4";"5";"4";"4";"3";"5";"5";"2";"5";"5";"5";"1";"4";"5";"5";"3";"4";"4";"3";"3";"3";"5";"3";"4";"4";"3";"2";"4";"1";"4";"2";"3";"2";"5";"3"
"300";"1";"2";"3";"3";"4";"1";"1";"2";"3";"3";"2";"3";"3";"2";"3";"3";"4";"3";"3";"4";"1";"4";"1";"5";"1";"5";"1";"4";"5";"5";"3";"4";"4";"3";"1";"4";"3";"4";"4";"3";"3";"1";"3";"1";"4";"1";"4";"3";"5";"5"
"301";"3";"1";"5";"1";"5";"1";"5";"0";"5";"2";"4";"4";"4";"2";"4";"4";"4";"3";"4";"4";"1";"5";"3";"4";"2";"4";"1";"3";"4";"5";"3";"2";"5";"2";"3";"2";"3";"2";"4";"3";"5";"1";"5";"1";"0";"1";"5";"4";"4";"5"
"302";"4";"1";"4";"1";"4";"1";"5";"3";"5";"2";"2";"5";"4";"3";"1";"1";"5";"4";"5";"2";"1";"4";"1";"4";"2";"4";"1";"4";"5";"5";"5";"4";"5";"3";"2";"5";"4";"3";"5";"5";"5";"1";"5";"0";"3";"5";"5";"5";"5";"5"
"303";"1";"5";"1";"5";"1";"4";"1";"5";"1";"5";"2";"3";"3";"4";"3";"3";"3";"2";"4";"3";"2";"2";"1";"4";"4";"3";"4";"2";"5";"4";"3";"4";"4";"3";"2";"4";"4";"2";"3";"5";"5";"1";"2";"2";"4";"3";"4";"4";"4";"3"
"304";"3";"3";"4";"3";"4";"3";"2";"3";"3";"2";"2";"3";"3";"2";"4";"3";"3";"3";"3";"4";"3";"3";"1";"5";"4";"4";"2";"3";"3";"2";"2";"4";"2";"4";"3";"4";"2";"2";"1";"3";"2";"3";"4";"1";"3";"2";"2";"2";"2";"3"
"305";"4";"2";"4";"2";"4";"1";"5";"1";"5";"4";"2";"4";"3";"1";"4";"4";"4";"4";"2";"4";"1";"5";"1";"4";"1";"5";"1";"5";"4";"4";"2";"5";"4";"5";"3";"5";"1";"2";"1";"2";"4";"1";"5";"1";"5";"1";"4";"4";"5";"5"
"306";"4";"1";"4";"2";"4";"2";"3";"3";"4";"3";"4";"2";"4";"3";"3";"3";"4";"4";"4";"3";"1";"4";"2";"5";"2";"3";"2";"4";"4";"3";"3";"4";"3";"4";"1";"2";"4";"3";"3";"3";"3";"2";"4";"3";"3";"2";"3";"2";"4";"4"
"307";"4";"3";"3";"3";"3";"3";"3";"3";"2";"3";"3";"4";"3";"4";"3";"3";"2";"2";"3";"2";"2";"4";"1";"4";"3";"5";"3";"4";"3";"4";"2";"5";"2";"3";"1";"5";"1";"3";"2";"4";"3";"3";"2";"4";"3";"4";"3";"2";"2";"3"
"308";"1";"5";"1";"5";"2";"4";"1";"4";"1";"5";"4";"4";"4";"0";"2";"4";"5";"4";"2";"5";"1";"5";"1";"5";"3";"5";"1";"5";"2";"3";"5";"1";"5";"1";"0";"1";"5";"2";"5";"0";"2";"4";"5";"2";"5";"1";"3";"5";"5";"3"
"309";"1";"5";"1";"5";"5";"5";"1";"5";"1";"5";"5";"1";"5";"1";"5";"5";"5";"5";"5";"5";"1";"1";"2";"5";"1";"5";"5";"5";"5";"2";"4";"5";"1";"5";"5";"5";"1";"4";"1";"4";"5";"1";"5";"1";"2";"1";"4";"4";"5";"2"
"310";"1";"4";"3";"5";"2";"2";"1";"5";"2";"5";"4";"2";"5";"2";"4";"4";"4";"4";"4";"5";"1";"4";"1";"4";"2";"4";"3";"3";"3";"3";"4";"1";"1";"3";"4";"2";"2";"2";"3";"1";"4";"5";"5";"2";"4";"1";"3";"4";"4";"5"
"311";"3";"4";"4";"3";"3";"2";"2";"3";"4";"3";"4";"3";"4";"4";"4";"3";"2";"2";"2";"3";"1";"5";"1";"4";"2";"4";"2";"4";"4";"4";"3";"1";"3";"2";"2";"1";"4";"4";"2";"3";"3";"2";"3";"2";"3";"3";"3";"3";"5";"3"
"312";"1";"5";"4";"4";"2";"4";"2";"5";"2";"5";"4";"3";"4";"4";"2";"4";"2";"2";"4";"2";"3";"2";"4";"3";"4";"3";"5";"3";"1";"3";"4";"1";"5";"1";"4";"1";"4";"2";"2";"4";"4";"2";"4";"3";"4";"1";"5";"3";"4";"4"
"313";"1";"1";"4";"4";"4";"2";"1";"4";"1";"4";"4";"4";"4";"4";"2";"4";"3";"4";"4";"2";"1";"5";"3";"4";"2";"5";"2";"3";"5";"5";"5";"2";"4";"3";"5";"1";"5";"1";"5";"2";"4";"1";"4";"2";"4";"1";"4";"2";"5";"4"
"314";"1";"4";"2";"5";"2";"4";"1";"4";"2";"5";"4";"3";"4";"2";"3";"2";"2";"2";"4";"3";"3";"2";"3";"3";"4";"3";"4";"3";"3";"2";"3";"3";"4";"3";"2";"3";"4";"4";"2";"3";"4";"1";"4";"1";"4";"1";"4";"4";"5";"5"
"315";"5";"3";"4";"1";"5";"2";"5";"3";"4";"2";"3";"5";"2";"4";"1";"3";"1";"1";"1";"1";"2";"4";"1";"3";"3";"2";"1";"5";"2";"5";"5";"4";"4";"2";"5";"1";"3";"3";"1";"4";"3";"3";"4";"3";"5";"1";"4";"3";"1";"4"
"316";"3";"3";"3";"2";"2";"3";"3";"2";"4";"3";"4";"4";"3";"1";"3";"4";"5";"4";"4";"4";"2";"4";"4";"3";"2";"2";"3";"4";"5";"4";"4";"5";"2";"4";"1";"5";"2";"3";"2";"5";"3";"1";"5";"1";"5";"1";"5";"3";"4";"5"
"317";"4";"2";"5";"3";"5";"2";"4";"5";"4";"2";"2";"4";"5";"3";"3";"1";"2";"2";"2";"2";"2";"5";"3";"4";"2";"4";"2";"4";"3";"4";"2";"4";"3";"4";"2";"1";"2";"4";"2";"2";"4";"1";"5";"1";"4";"1";"4";"5";"5";"4"
"318";"3";"2";"5";"3";"4";"2";"2";"3";"3";"3";"1";"5";"2";"3";"2";"2";"4";"1";"2";"2";"4";"4";"4";"2";"2";"4";"3";"2";"2";"5";"2";"4";"2";"4";"3";"4";"3";"2";"4";"4";"2";"2";"2";"3";"3";"2";"4";"2";"1";"4"
"319";"1";"4";"2";"5";"1";"4";"2";"4";"2";"5";"2";"4";"5";"3";"2";"1";"2";"1";"2";"2";"2";"4";"3";"4";"3";"4";"2";"3";"4";"4";"2";"5";"5";"5";"1";"4";"3";"3";"1";"3";"3";"2";"5";"2";"4";"1";"3";"3";"5";"4"
"320";"3";"2";"3";"3";"3";"2";"3";"3";"4";"3";"5";"2";"5";"1";"4";"5";"3";"3";"4";"4";"2";"4";"2";"4";"3";"3";"3";"4";"4";"3";"2";"5";"4";"3";"1";"4";"3";"3";"3";"3";"3";"2";"5";"2";"3";"1";"3";"2";"3";"4"
"321";"1";"2";"4";"3";"1";"2";"1";"3";"4";"5";"4";"3";"4";"2";"4";"4";"3";"2";"4";"4";"2";"3";"2";"4";"2";"4";"2";"2";"5";"3";"3";"4";"3";"1";"1";"2";"2";"2";"3";"4";"5";"1";"5";"1";"3";"1";"4";"4";"5";"5"
"322";"2";"5";"3";"4";"2";"1";"3";"4";"2";"5";"0";"4";"5";"2";"5";"3";"3";"2";"2";"2";"2";"4";"1";"5";"1";"4";"1";"4";"5";"4";"3";"3";"4";"4";"1";"2";"2";"5";"1";"2";"4";"1";"5";"1";"4";"1";"4";"4";"5";"5"
"323";"3";"3";"3";"3";"3";"3";"4";"3";"3";"3";"1";"4";"2";"3";"3";"1";"2";"2";"2";"3";"2";"4";"1";"3";"2";"4";"2";"3";"3";"4";"5";"1";"5";"1";"2";"5";"4";"2";"3";"4";"3";"1";"5";"1";"3";"2";"4";"3";"5";"5"
"324";"5";"1";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"5";"5";"5";"1";"5";"1";"5";"1";"5";"5";"5";"5";"1";"5";"1";"5";"1";"1";"1";"5";"5";"3";"1";"5";"5";"5";"1";"5";"1";"5";"5"
"325";"5";"1";"5";"3";"5";"1";"5";"4";"2";"5";"5";"3";"3";"1";"1";"4";"5";"3";"3";"1";"1";"5";"1";"3";"1";"5";"0";"2";"1";"5";"3";"3";"1";"1";"4";"1";"3";"1";"1";"4";"5";"1";"4";"1";"5";"1";"5";"4";"5";"5"
"326";"1";"5";"3";"4";"1";"5";"1";"1";"4";"5";"2";"3";"4";"2";"1";"1";"1";"1";"1";"3";"1";"4";"2";"3";"1";"2";"1";"5";"3";"3";"5";"2";"5";"1";"3";"2";"3";"3";"3";"3";"3";"2";"3";"2";"3";"1";"4";"1";"3";"3"
"327";"2";"5";"3";"4";"2";"4";"2";"5";"3";"4";"2";"0";"3";"3";"4";"1";"5";"2";"2";"2";"2";"5";"2";"4";"2";"3";"2";"4";"4";"3";"4";"5";"4";"3";"1";"4";"4";"2";"4";"4";"5";"4";"4";"3";"4";"2";"5";"4";"4";"4"
"328";"3";"3";"3";"2";"4";"2";"3";"3";"3";"4";"4";"2";"3";"3";"3";"3";"4";"3";"3";"3";"1";"4";"1";"4";"2";"5";"2";"4";"4";"4";"4";"1";"4";"1";"3";"1";"4";"2";"4";"3";"4";"4";"3";"2";"4";"2";"4";"3";"3";"4"
"329";"3";"2";"3";"3";"3";"1";"3";"4";"3";"4";"4";"4";"4";"2";"2";"4";"3";"3";"3";"4";"1";"5";"2";"5";"2";"5";"1";"4";"5";"4";"3";"5";"4";"4";"2";"3";"4";"2";"4";"3";"4";"1";"5";"1";"5";"1";"3";"3";"4";"5"
"330";"3";"1";"1";"2";"2";"2";"1";"1";"5";"4";"4";"2";"5";"1";"5";"1";"4";"4";"1";"4";"4";"2";"4";"4";"4";"4";"4";"3";"4";"2";"1";"5";"5";"5";"1";"2";"2";"5";"1";"5";"5";"1";"5";"1";"5";"1";"5";"5";"5";"5"
"331";"3";"3";"3";"2";"4";"3";"2";"4";"2";"2";"2";"5";"5";"2";"1";"1";"5";"2";"4";"2";"3";"5";"5";"5";"5";"2";"2";"2";"4";"3";"2";"2";"5";"2";"2";"1";"5";"2";"4";"4";"4";"1";"2";"1";"5";"4";"4";"4";"2";"5"
"332";"4";"4";"2";"5";"3";"5";"2";"5";"2";"5";"1";"5";"3";"5";"1";"1";"1";"1";"1";"1";"1";"4";"1";"5";"2";"3";"2";"4";"5";"4";"2";"3";"4";"2";"2";"3";"4";"1";"2";"3";"4";"1";"5";"1";"4";"1";"4";"2";"5";"5"
"333";"3";"3";"3";"3";"2";"4";"0";"5";"2";"5";"5";"4";"5";"4";"3";"5";"3";"3";"4";"4";"1";"4";"4";"5";"1";"5";"2";"5";"5";"4";"3";"3";"5";"5";"3";"3";"4";"2";"4";"5";"4";"2";"4";"2";"2";"1";"4";"3";"5";"5"
"334";"2";"3";"2";"4";"1";"3";"1";"4";"2";"5";"4";"2";"2";"3";"5";"4";"2";"2";"4";"2";"4";"2";"1";"3";"5";"3";"5";"4";"1";"4";"3";"5";"4";"5";"1";"5";"4";"5";"1";"3";"3";"1";"5";"1";"5";"1";"5";"4";"5";"5"
"335";"3";"3";"3";"3";"3";"2";"3";"5";"3";"5";"3";"4";"3";"3";"3";"0";"2";"4";"3";"4";"1";"4";"1";"5";"2";"5";"2";"5";"4";"3";"3";"5";"3";"2";"1";"3";"3";"3";"1";"3";"5";"3";"5";"1";"5";"1";"3";"5";"5";"5"
"336";"5";"1";"2";"1";"5";"1";"5";"1";"5";"2";"5";"2";"5";"2";"4";"5";"4";"4";"4";"2";"4";"5";"4";"4";"4";"5";"1";"4";"4";"1";"5";"1";"5";"1";"5";"1";"2";"3";"5";"3";"4";"4";"1";"2";"5";"1";"5";"2";"5";"5"
"337";"3";"2";"3";"3";"3";"2";"3";"4";"3";"3";"4";"2";"4";"3";"4";"4";"3";"4";"4";"3";"4";"4";"3";"4";"2";"3";"2";"3";"4";"3";"2";"3";"4";"3";"3";"4";"4";"3";"4";"4";"3";"1";"3";"2";"3";"2";"4";"3";"3";"3"
"338";"1";"5";"2";"5";"1";"2";"1";"5";"2";"5";"5";"1";"5";"1";"4";"5";"5";"5";"2";"5";"1";"5";"1";"0";"2";"4";"1";"2";"5";"2";"4";"5";"5";"4";"1";"5";"4";"4";"4";"2";"4";"2";"5";"1";"4";"1";"4";"5";"5";"5"
"339";"1";"5";"1";"2";"3";"1";"1";"2";"3";"5";"4";"3";"4";"1";"3";"5";"5";"5";"5";"5";"2";"3";"2";"2";"3";"2";"2";"1";"2";"1";"3";"1";"4";"2";"3";"1";"5";"1";"5";"4";"3";"3";"2";"3";"2";"4";"3";"3";"5";"2"
